bundle	deleted	entity_id	revision_id	langcode	delta	field_event_date_value
event	0	10782	10782	und	0	2012-12-01
event	0	10785	10785	und	0	2011-05-01
event	0	10786	10786	und	0	2011-06-08
event	0	10791	165622	und	0	2011-12-10
event	0	10798	10798	und	0	1488-02-03
event	0	10799	159019	und	0	1488-03-12
event	0	10800	10800	und	0	1497-11-04
event	0	10801	10801	und	0	1497-11-04
event	0	10802	154740	und	0	1499-08-28
event	0	10804	10804	und	0	2011-10-15
event	0	10805	10805	und	0	1500-05-29
event	0	10806	157496	und	0	1524-12-24
event	0	10807	160764	und	0	1552-06-08
event	0	10808	10808	und	0	1554-04-24
event	0	10809	10809	und	0	1561-03-16
event	0	10810	10810	und	0	1593-03-24
event	0	10814	163397	und	0	1639-10-14
event	0	10815	10815	und	0	1647-03-25
event	0	10816	10816	und	0	1649-07-26
event	0	10817	10817	und	0	1649-07-26
event	0	10820	10820	und	0	1652-09-14
event	0	10821	10821	und	0	1652-12-26
event	0	10823	10823	und	0	1654-10-06
event	0	10824	10824	und	0	1657-09-25
event	0	10825	10825	und	0	1658-04-17
event	0	10827	10827	und	0	1658-07-08
event	0	10828	10828	und	0	1659-05-01
event	0	10829	10829	und	0	1659-05-19
event	0	10830	10830	und	0	1661-08-23
event	0	10831	10831	und	0	1663-10-11
event	0	10832	10832	und	0	1666-01-02
event	0	10834	10834	und	0	1677-06-25
event	0	10835	10835	und	0	1679-04-09
event	0	10836	10836	und	0	1679-04-09
event	0	10837	159772	und	0	1679-04-26
event	0	10838	10838	und	0	1685-07-16
event	0	10839	181467	und	0	1685-10-03
event	0	10841	167444	und	0	1688-08-29
event	0	10842	10842	und	0	1694-03-31
event	0	10843	10843	und	0	1699-02-11
event	0	10844	165489	und	0	1699-05-23
event	0	10845	10845	und	0	2011-05-17
event	0	10846	10846	und	0	1702-04-03
event	0	10847	10847	und	0	1705-06-13
event	0	10848	10848	und	0	1706-02-28
event	0	10849	10849	und	0	1707-02-22
event	0	10850	10850	und	0	1713-02-13
event	0	10852	10852	und	0	1716-06-21
event	0	10853	10853	und	0	1730-03-08
event	0	10854	10854	und	0	1737-05-21
event	0	10855	10855	und	0	1737-07-09
event	0	10857	10857	und	0	1748-08-28
event	0	10858	10858	und	0	1749-04-20
event	0	10861	10861	und	0	1773-06-01
event	0	10862	10862	und	0	1775-07-14
event	0	10863	10863	und	0	1779-08-12
event	0	10864	10864	und	0	1779-08-17
event	0	10865	10865	und	0	1780-11-12
event	0	10866	10866	und	0	1781-05-03
event	0	10867	10867	und	0	1783-08-10
event	0	10868	10868	und	0	1786-07-19
event	0	10869	10869	und	0	1788-08-22
event	0	10870	10870	und	0	1789-07-04
event	0	10871	10871	und	0	1792-06-23
event	0	10872	10872	und	0	1792-12-19
event	0	10873	10873	und	0	1794-09-07
event	0	10874	157616	und	0	1794-12-27
event	0	10875	10875	und	0	1795-02-06
event	0	10876	10876	und	0	1795-08-07
event	0	10877	10877	und	0	1795-08-29
event	0	10878	10878	und	0	1795-11-04
event	0	10879	10879	und	0	1795-12-21
event	0	10880	10880	und	0	1799-07-24
event	0	10881	10881	und	0	1799-08-02
event	0	10882	10882	und	0	2011-06-18
event	0	10883	10883	und	0	1999-06-16
event	0	10884	170795	und	0	1803-02-21
event	0	10885	10885	und	0	1861-09-20
event	0	10886	163356	und	0	1803-10-09
event	0	10888	10888	und	0	1805-04-28
event	0	10889	10889	und	0	1806-01-08
event	0	10890	159187	und	0	1807-03-25
event	0	10891	157299	und	0	1808-02-01
event	0	10892	10892	und	0	1808-10-27
event	0	10893	10893	und	0	1813-01-15
event	0	10894	10894	und	0	1813-07-26
event	0	10895	10895	und	0	1814-02-25
event	0	10896	10896	und	0	1814-08-13
event	0	10897	10897	und	0	1815-05-30
event	0	10898	157517	und	0	1815-12-15
event	0	10899	10899	und	0	1816-03-09
event	0	10900	10900	und	0	1817-04-02
event	0	10901	10901	und	0	1817-07-08
event	0	10903	10903	und	0	1819-04-22
event	0	10905	172748	und	0	1820-03-17
event	0	10907	10907	und	0	1820-04-09
event	0	10908	10908	und	0	1820-05-12
event	0	10909	10909	und	0	1820-05-27
event	0	10910	10910	und	0	1820-10-20
event	0	10911	157167	und	0	1820-11-27
event	0	10912	10912	und	0	1821-04-24
event	0	10913	10913	und	0	1821-05-05
event	0	10914	10914	und	0	1824-02-29
event	0	10915	10915	und	0	1825-08-31
event	0	10916	10916	und	0	1826-07-25
event	0	10917	10917	und	0	1827-03-18
event	0	10918	10918	und	0	1828-07-17
event	0	10919	163050	und	0	1828-09-22
event	0	10920	10920	und	0	1828-10-08
event	0	10921	10921	und	0	1829-04-29
event	0	10923	10923	und	0	1829-10-01
event	0	10924	10924	und	0	1830-04-09
event	0	10925	10925	und	0	1831-03-09
event	0	10926	10926	und	0	1831-08-21
event	0	10927	10927	und	0	1831-12-30
event	0	10928	10928	und	0	1832-09-17
event	0	10929	10929	und	0	1833-06-28
event	0	10930	157840	und	0	1834-01-16
event	0	10931	10931	und	0	1834-04-22
event	0	10932	10932	und	0	1834-08-01
event	0	10934	10934	und	0	1835-02-06
event	0	10935	10935	und	0	1835-04-29
event	0	10936	10936	und	0	1835-05-03
event	0	10937	10937	und	0	1835-05-12
event	0	10938	10938	und	0	1836-05-14
event	0	10939	180545	und	0	1835-06-23
event	0	10940	10940	und	0	1835-09-12
event	0	10941	181329	und	0	1835-09-15
event	0	10943	10943	und	0	1836-07-10
event	0	10944	175988	und	0	1836-10-04
event	0	10945	10945	und	0	1837-01-02
event	0	10946	10946	und	0	1837-01-17
event	0	10947	158052	und	0	1837-01-22
event	0	10949	10949	und	0	1837-05-07
event	0	10951	10951	und	0	1838-02-17
event	0	10952	10952	und	0	1838-04-11
event	0	10953	10953	und	0	1838-04-17
event	0	10954	10954	und	0	1838-05-17
event	0	10955	10955	und	0	1838-06-13
event	0	10956	155702	und	0	1838-09-23
event	0	10957	10957	und	0	1838-12-16
event	0	10958	157295	und	0	1838-12-22
event	0	10959	157615	und	0	1838-12-26
event	0	10960	10960	und	0	1838-12-27
event	0	10961	10961	und	0	1839-02-15
event	0	10963	10963	und	0	1839-07-02
event	0	10964	10964	und	0	1840-02-14
event	0	10965	10965	und	0	1842-03-31
event	0	10966	10966	und	0	1842-05-04
event	0	10968	10968	und	0	1842-06-24
event	0	10969	163215	und	0	1843-09-28
event	0	10970	10970	und	0	1844-10-03
event	0	10971	10971	und	0	1847-07-26
event	0	10972	10972	und	0	1847-10-22
event	0	10973	10973	und	0	1848-01-07
event	0	10974	10974	und	0	1848-02-03
event	0	10975	10975	und	0	1848-08-29
event	0	10976	10976	und	0	1848-11-23
event	0	10977	166472	und	0	1849-03-01
event	0	10978	10978	und	0	1849-09-19
event	0	10979	10979	und	0	1850-02-13
event	0	10980	10980	und	0	1851-06-30
event	0	10981	10981	und	0	1851-08-27
event	0	10982	10982	und	0	1851-12-31
event	0	10983	10983	und	0	1852-01-17
event	0	10984	158806	und	0	1852-02-26
event	0	10985	10985	und	0	1853-07-23
event	0	10986	10986	und	0	1853-09-01
event	0	10987	10987	und	0	1853-10-08
event	0	10988	10988	und	0	1854-02-23
event	0	10989	10989	und	0	1854-04-10
event	0	10990	10990	und	0	1854-10-25
event	0	10991	159185	und	0	1855-03-24
event	0	10992	10992	und	0	1855-11-16
event	0	10994	10994	und	0	1856-07-20
event	0	10995	165360	und	0	1856-12-02
event	0	10996	158568	und	0	1857-02-18
event	0	10997	166376	und	0	1857-02-22
event	0	10998	10998	und	0	1858-02-21
event	0	11000	11000	und	0	1858-09-29
event	0	11001	11001	und	0	1859-01-11
event	0	11002	160235	und	0	1859-05-22
event	0	11003	11003	und	0	1859-08-18
event	0	11004	11004	und	0	1859-09-16
event	0	11005	11005	und	0	1859-10-16
event	0	11006	11006	und	0	1859-11-01
event	0	11007	11007	und	0	1860-03-07
event	0	11008	159384	und	0	1860-04-09
event	0	11009	11009	und	0	1860-06-08
event	0	11010	11010	und	0	1860-06-26
event	0	11011	11011	und	0	1860-11-06
event	0	11013	11013	und	0	1861-09-22
event	0	11014	158726	und	0	1862-02-24
event	0	11015	11015	und	0	1862-07-24
event	0	11016	11016	und	0	1862-08-23
event	0	11017	11017	und	0	1862-09-14
event	0	11018	11018	und	0	1862-09-27
event	0	11019	11019	und	0	1863-03-23
event	0	11020	159344	und	0	1863-04-01
event	0	11021	11021	und	0	1864-06-29
event	0	11024	11024	und	0	1866-03-02
event	0	11025	11025	und	0	1866-04-22
event	0	11027	11027	und	0	1866-08-10
event	0	11029	11029	und	0	1867-07-02
event	0	11030	11030	und	0	1867-09-23
event	0	11031	11031	und	0	1867-10-13
event	0	11032	11032	und	0	1868-03-12
event	0	11033	11033	und	0	1868-09-09
event	0	11034	181445	und	0	1869-10-02
event	0	11035	159017	und	0	1870-03-11
event	0	11036	167456	und	0	1870-05-24
event	0	11037	11037	und	0	1870-07-30
event	0	11038	11038	und	0	1870-08-06
event	0	11039	11039	und	0	1871-05-11
event	0	11040	11040	und	0	1871-10-31
event	0	11041	11041	und	0	1871-12-24
event	0	11042	11042	und	0	1872-07-31
event	0	11044	11044	und	0	1873-09-09
event	0	11045	11045	und	0	1873-11-04
event	0	11047	11047	und	0	1874-02-09
event	0	11048	180577	und	0	1874-04-06
event	0	11049	11049	und	0	1874-05-09
event	0	11050	11050	und	0	1875-04-04
event	0	11051	11051	und	0	1875-04-29
event	0	11052	11052	und	0	1875-05-08
event	0	11053	11053	und	0	1875-08-28
event	0	11055	11055	und	0	1875-12-30
event	0	11056	11056	und	0	1876-01-15
event	0	11057	11057	und	0	1876-03-27
event	0	11058	11058	und	0	1876-08-01
event	0	11059	11059	und	0	1878-01-24
event	0	11061	11061	und	0	1878-10-06
event	0	11062	165623	und	0	1878-12-11
event	0	11063	157397	und	0	1879-01-10
event	0	11064	11064	und	0	1879-01-12
event	0	11066	11066	und	0	1879-01-20
event	0	11068	11068	und	0	1879-01-23
event	0	11069	159191	und	0	1879-03-29
event	0	11070	11070	und	0	1879-04-02
event	0	11072	161281	und	0	1879-07-04
event	0	11073	11073	und	0	1879-07-31
event	0	11074	11074	und	0	1879-09-02
event	0	11076	11076	und	0	1879-11-28
event	0	11077	11077	und	0	1880-02-12
event	0	11078	163728	und	0	1880-10-23
event	0	11079	11079	und	0	1880-12-01
event	0	11080	165625	und	0	1880-12-13
event	0	11081	11081	und	0	1880-12-19
event	0	11082	11082	und	0	1881-01-28
event	0	11083	11083	und	0	1881-02-08
event	0	11084	158815	und	0	1881-02-27
event	0	11085	158887	und	0	1881-03-06
event	0	11086	11086	und	0	1881-04-23
event	0	11087	11087	und	0	1881-05-28
event	0	11088	11088	und	0	1881-08-15
